rubrics_id  rubrics_number  mitt_number  page_number | observer_id  observer_alias - comment | frequency
325  482  59  351  |  72   Todd - 7.60-Bender | 2
325  482  59  351  |  72   Todd - 2.5-Bender | 1

326  676  82  67  |  101   Catania 1 -  Ricco -  Mascari - uncertain | 4
326  676  82  67  |  101   Catania 1 -  Ricco -  Mascari - dellungo | 37
326  676  82  67  |  101   Catania 1 -  Ricco -  Mascari - Mascari | 17
326  676  82  67  |  101   Catania 1 -  Ricco -  Mascari - Etna obs | 3

332  686  84  121  |  56   Wolfer - wolfer-p | 22

336  566  72  20  |  69   Winkler - change of instrument | 2

340  691  84  127  |  101   Catania 1 -  Ricco -  Mascari - ricco | 20
340  691  84  127  |  101   Catania 1 -  Ricco -  Mascari - canizzo | 23
340  691  84  127  |  101   Catania 1 -  Ricco -  Mascari - etna | 7

342  569  71  23  |  82   Ricco et Mascari - Mascari | 132

346  696  84  135  |  84   Lewitzky - ewdokimow | 22
346  696  84  135  |  84   Lewitzky - lewitzky | 3

349  702  86  215  |  56   Wolfer - wolfer-p | 16

353  703  86  216  |  86   Fauquez - Fauquez-p | 7

360  684  83  104  |  89   Kremsmuntser-2 - *=Schwarzenbrunner | 86
360  684  83  104  |  97   Achromaten - +theodolitfernrohr | 2

363  587  73  113  |  69   Winkler - * | 8

366  706  86  219  |  77   Quimby - * | 2

370  707  86  221  |  101   Catania 1 -  Ricco -  Mascari - ricco | 2
370  707  86  221  |  101   Catania 1 -  Ricco -  Mascari - ricco? | 3

385  720  87  244  |  56   Wolfer - wolfer-p | 21

387  721  87  245  |  86   Fauquez - fauquez-p | 34

398  611  76  235  |  90   Leavenworth et Gummere - Quimby | 49

399  729  87  252  |  101   Catania 1 -  Ricco -  Mascari - ricco | 15
399  729  87  252  |  101   Catania 1 -  Ricco -  Mascari - ricco ? | 1
399  729  87  252  |  101   Catania 1 -  Ricco -  Mascari - ricco? | 2

400  612  76  236  |  67   Ricco - Mascari | 14

404  593  73  120  |  67   Ricco - Mascari | 38
404  593  73  120  |  67   Ricco - Zona | 9

408  734  87  256  |  103   Charkow-6foot - skykora-j | 1
408  734  87  256  |  103   Charkow-6foot - sykora-j | 91

409  739  88  272  |  56   Wolfer - wolfer-p | 11

413  741  88  273  |  104   Broger - Broger-p ? | 1
413  741  88  273  |  104   Broger - Broger-p | 2

416  744  88  275  |  77   Quimby - * | 9

420  625  78  297  |  56   Wolfer - Wolfer-P | 14

424  627  78  300  |  69   Winkler - * | 9

444  656  80  398  |  106   Mascari - Zona | 61
444  656  80  398  |  106   Mascari - Ricco | 7

445  604  76  227  |  56   Wolfer - Wolfer-P* | 11

